epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1700.42,1.52703,2.09828,1.26108,1.07177,0,0.59213,0.57895,0.65935,0.33347,0.59213,0.57895,0.66325,0.36786,1.74414,2.27352,1.59983,1.20067,0,0.00040925,0.00040925,0.00040925
57,1726.15,1.46027,1.80616,1.22098,1.0342,0,0.58669,0.55263,0.60445,0.31711,0.61015,0.57895,0.6571,0.35797,1.73517,2.18608,1.71751,1.22312,0,0.0004076,0.0004076,0.0004076
58,1753.34,1.48997,2.09619,1.18692,1.06817,0,0.60408,0.57895,0.58536,0.30865,0.58928,0.60526,0.64751,0.34175,1.74834,2.09174,1.72518,1.23613,0,0.00040595,0.00040595,0.00040595
59,1778.73,1.4559,1.95405,1.41381,1.01668,0,0.64463,0.57895,0.57586,0.30216,0.66824,0.60526,0.63516,0.32681,1.7482,2.05991,1.61265,1.23266,0,0.0004043,0.0004043,0.0004043
60,1805.17,1.58772,1.92297,1.26089,1.06032,0,0.57361,0.63158,0.59131,0.30611,0.62141,0.68421,0.64711,0.33361,1.73578,2.07744,1.66303,1.23301,0,0.00040265,0.00040265,0.00040265
61,1831,1.55092,1.95636,1.23548,1.10681,0,0.64674,0.57895,0.60657,0.30588,0.67405,0.60526,0.65648,0.33542,1.73242,2.11583,1.64383,1.22967,0,0.000401,0.000401,0.000401
62,1857.32,1.43493,1.90957,1.12504,1.02153,0,0.67226,0.60526,0.61354,0.31394,0.69738,0.60526,0.66972,0.35594,1.71653,2.14748,1.50931,1.22084,0,0.00039935,0.00039935,0.00039935
63,1883.06,1.34277,1.72482,1.17627,0.98848,0,0.67226,0.60526,0.61354,0.31394,0.69738,0.60526,0.66972,0.35594,1.71653,2.14748,1.50931,1.22084,0,0.0003977,0.0003977,0.0003977
64,1908.96,1.51222,2.24986,1.22151,1.09017,0,0.62264,0.60526,0.6353,0.32924,0.65501,0.59971,0.67386,0.35786,1.69859,2.12497,1.4834,1.22081,0,0.00039605,0.00039605,0.00039605
65,1934.79,1.65466,1.87609,1.32117,1.00901,0,0.80708,0.60526,0.69768,0.35794,0.80708,0.60526,0.69306,0.3842,1.67064,2.04522,1.53826,1.20816,0,0.0003944,0.0003944,0.0003944
