epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,576.499,1.88129,1.93902,1.65923,1.02516,0,0.50214,0.55747,0.53238,0.2433,0.50214,0.55747,0.52115,0.17973,1.92789,1.83338,1.84989,1.06976,0,0.0008713,0.0008713,0.0008713
41,590.986,1.88423,2.05095,1.55051,0.98781,0,0.56818,0.5,0.54747,0.24575,0.43696,0.52632,0.51807,0.18052,1.93564,1.88323,1.85363,1.07484,0,0.000868,0.000868,0.000868
42,604.277,2.03822,2.37327,1.69671,1.07228,0,0.52254,0.55263,0.57316,0.25736,0.38956,0.68421,0.54644,0.20568,1.88636,1.84395,1.83798,1.0584,0,0.0008647,0.0008647,0.0008647
43,617.439,1.83488,2.03979,1.38912,1.00358,0,0.50439,0.55263,0.56327,0.25967,0.43512,0.64878,0.5666,0.24643,1.84972,1.74286,1.85632,1.05559,0,0.0008614,0.0008614,0.0008614
44,629.107,1.90735,2.01459,1.4667,1.02042,0,0.55092,0.44737,0.55653,0.26207,0.45068,0.60454,0.56666,0.25149,1.85789,1.75727,1.89984,1.0558,0,0.0008581,0.0008581,0.0008581
45,643.162,1.95799,2.09089,1.76257,1.05103,0,0.57499,0.49849,0.55404,0.25687,0.44299,0.52632,0.50886,0.2182,1.8881,1.94126,1.94646,1.07677,0,0.0008548,0.0008548,0.0008548
46,652.376,2.09957,2.33991,1.88602,1.04381,0,0.57499,0.49849,0.55404,0.25687,0.44299,0.52632,0.50886,0.2182,1.8881,1.94126,1.94646,1.07677,0,0.0008515,0.0008515,0.0008515
47,665.523,1.93486,2.15222,1.49795,1.02704,0,0.50527,0.64516,0.5746,0.2443,0.48575,0.44737,0.46108,0.20596,1.91335,2.17621,1.94066,1.09126,0,0.0008482,0.0008482,0.0008482
48,679.235,2.02807,2.26961,1.66719,0.99849,0,0.59587,0.60526,0.61117,0.25698,0.51401,0.44737,0.43689,0.19517,1.89329,2.30542,1.91379,1.08383,0,0.0008449,0.0008449,0.0008449
49,694.346,1.85944,2.42984,1.50692,1.01396,0,0.54739,0.63158,0.62912,0.27806,0.53343,0.51165,0.54258,0.20443,1.88174,2.29333,1.83222,1.07364,0,0.0008416,0.0008416,0.0008416
